label,sublabel,description,styles,bgcolor
燃やす一般ごみ,燃えるごみ,,,#ea3b13
容器包装プラスチック,,,,#77ae1f
資源ごみ（紙類、古着・布類・ペットボトル）,,,,#77ae1f
燃やす粗大ごみ,,,,#ff6e59
資源ごみ（空き缶・空きびん）,,,,#2dc7aa
燃えないごみ,,,,#733b96
資源ごみ（紙類・古着・布類）,,,,#77ae1f
資源ごみ（ペットボトル、空き缶、空きびん）,,,,#2dc7aa
資源ごみ（紙類、空きかん、空きびん、ペットボトル、古着・布類）,,,,#2dc7aa
